f1_w,acc_w,seed,timestamps,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,mode,path,epoch
0.619922178861621,0.6544061302681993,4012,202505081620,0.856687898089172,0.6014234875444839,0.0,0.10096153846153846,0.6318407960199005,0.0,0.5449275362318841,0.7911764705882353,0.571912013536379,0.0,0.17573221757322174,0.6279357231149567,0.0,0.506056527590848,ORIGINAL,/workspace/MGLRA/save_folder/MELD/original/model_f1_61.99_acc_65.44_epoch_0_time_202505081620_seed_4012.pth,0
0.6415426815144727,0.6662835249042146,4012,202505081620,0.8487261146496815,0.6512455516014235,0.0,0.23557692307692307,0.6293532338308457,0.0,0.5449275362318841,0.8003003003003003,0.5828025477707006,0.0,0.33676975945017185,0.6380832282471627,0.0,0.5186206896551724,ORIGINAL,/workspace/MGLRA/save_folder/MELD/original/model_f1_64.15_acc_66.63_epoch_1_time_202505081620_seed_4012.pth,1
0.6520149413907308,0.6701149425287356,4012,202505081620,0.8479299363057324,0.6441281138790036,0.04,0.2692307692307692,0.6169154228855721,0.08823529411764706,0.553623188405797,0.8031674208144797,0.5838709677419355,0.06896551724137931,0.3684210526315789,0.6367137355584083,0.13333333333333333,0.5327754532775453,ORIGINAL,/workspace/MGLRA/save_folder/MELD/original/model_f1_65.20_acc_67.01_epoch_2_time_202505081620_seed_4012.pth,2
0.6567965193532525,0.6708812260536399,4012,202505081620,0.8423566878980892,0.6405693950177936,0.12,0.25961538461538464,0.6169154228855721,0.19117647058823528,0.5565217391304348,0.8024270003792188,0.5825242718446602,0.16901408450704225,0.34951456310679613,0.64,0.26,0.5408450704225352,ORIGINAL,/workspace/MGLRA/save_folder/MELD/original/model_f1_65.68_acc_67.09_epoch_3_time_202505081620_seed_4012.pth,3
0.6616690723770404,0.6727969348659004,4012,202505081620,0.8351910828025477,0.6441281138790036,0.2,0.2980769230769231,0.6218905472636815,0.20588235294117646,0.5507246376811594,0.8019877675840978,0.5857605177993528,0.2702702702702703,0.3862928348909657,0.6402048655569782,0.27450980392156865,0.536723163841808,ORIGINAL,/workspace/MGLRA/save_folder/MELD/original/model_f1_66.17_acc_67.28_epoch_4_time_202505081620_seed_4012.pth,4
0.631237574477435,0.6540229885057471,9633,202505081622,0.822452229299363,0.5729537366548043,0.0,0.21153846153846154,0.664179104477612,0.0,0.5855072463768116,0.7906620742441638,0.5629370629370629,0.0,0.30662020905923343,0.6402877697841727,0.0,0.507537688442211,MKD,/workspace/MGLRA/save_folder/MELD/MKD/model_f1_63.12_acc_65.40_epoch_0_time_202505081622_seed_9633.pth,0
0.6504812229896919,0.6670498084291188,9633,202505081622,0.8144904458598726,0.6405693950177936,0.0,0.3701923076923077,0.6616915422885572,0.0,0.5652173913043478,0.7964188400155703,0.6060606060606061,0.0,0.4106666666666667,0.6495726495726496,0.0,0.5234899328859061,MKD,/workspace/MGLRA/save_folder/MELD/MKD/model_f1_65.05_acc_66.70_epoch_1_time_202505081622_seed_9633.pth,1
0.6567446140326914,0.671264367816092,9633,202505081622,0.8168789808917197,0.6298932384341637,0.04,0.3798076923076923,0.6517412935323383,0.014705882352941176,0.5942028985507246,0.7981330221703618,0.6061643835616438,0.07407407407407407,0.42702702702702705,0.6517412935323383,0.027777777777777776,0.5359477124183006,MKD,/workspace/MGLRA/save_folder/MELD/MKD/model_f1_65.67_acc_67.13_epoch_2_time_202505081622_seed_9633.pth,2
0.6293545183231375,0.6540229885057471,7295,202505081623,0.8455414012738853,0.604982206405694,0.0,0.24519230769230768,0.6268656716417911,0.0,0.4985507246376812,0.7919463087248322,0.5601317957166392,0.0,0.32075471698113206,0.6276463262764632,0.0,0.49710982658959535,ORIGINAL_AV_LSTM,/workspace/MGLRA/save_folder/MELD/original_av_using_lstm/model_f1_62.94_acc_65.40_epoch_0_time_202505081623_seed_7295.pth,0
0.6439246826086074,0.660536398467433,7295,202505081623,0.822452229299363,0.6227758007117438,0.0,0.40384615384615385,0.6169154228855721,0.0,0.5333333333333333,0.7955333076626877,0.5794701986754967,0.0,0.43523316062176165,0.6334610472541508,0.0,0.5027322404371585,ORIGINAL_AV_LSTM,/workspace/MGLRA/save_folder/MELD/original_av_using_lstm/model_f1_64.39_acc_66.05_epoch_1_time_202505081623_seed_7295.pth,1
